"audit_id","chart_id","property","value","read_complete"
"40880270757609_2097192203","40880270757609","CHART_COLOR_BACKGROUND","16777215","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_FOREGROUND","8745319","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_GRID","15262428","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_CHART_UP","8036110","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_CHART_DOWN","6182128","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_CANDLE_BULL","16777215","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_CANDLE_BEAR","6182128","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_CHART_LINE","16149563","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_VOLUME","15262428","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_BID","16149563","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_ASK","10982795","1"
"40880270757609_2097192203","40880270757609","CHART_COLOR_LAST","16149563","1"
"40880270757609_2097192203","40880270757609","CHART_MODE","1","1"
"40880270757609_2097192203","40880270757609","CHART_FOREGROUND","0","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_GRID","0","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_VOLUMES","0","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_BID_LINE","0","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_ASK_LINE","0","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_LAST_LINE","0","1"
"40880270757609_2097192203","40880270757609","CHART_SHIFT","1","1"
"40880270757609_2097192203","40880270757609","CHART_SCALE","3","1"
"40880270757609_2097192203","40880270757609","CHART_AUTOSCROLL","1","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_TRADE_LEVELS","1","1"
"40880270757609_2097192203","40880270757609","CHART_DRAG_TRADE_LEVELS","1","1"
"40880270757609_2097192203","40880270757609","CHART_SHOW_TRADE_HISTORY","1","1"
"40880270757609_2097192203","40880270757609","CHART_FIRST_VISIBLE_BAR","119","1"
"40880270757609_2097192203","40880270757609","CHART_WIDTH_IN_BARS","149","1"
"40880270757609_2097192203","40880270757609","CHART_SHIFT_SIZE","19.8653198653198615","1"
