"serial","chart_id","property","value"
"602","41774365623703","CHART_COLOR_BACKGROUND","16777215"
"602","41774365623703","CHART_COLOR_FOREGROUND","2169367"
"602","41774365623703","CHART_COLOR_GRID","15262428"
"602","41774365623703","CHART_COLOR_CHART_UP","8036110"
"602","41774365623703","CHART_COLOR_CHART_DOWN","6182128"
"602","41774365623703","CHART_COLOR_CANDLE_BULL","8036110"
"602","41774365623703","CHART_COLOR_CANDLE_BEAR","6182128"
"602","41774365623703","CHART_COLOR_CHART_LINE","16149563"
"602","41774365623703","CHART_COLOR_VOLUME","16149563"
"602","41774365623703","CHART_COLOR_BID","16149563"
"602","41774365623703","CHART_COLOR_ASK","16149563"
"602","41774365623703","CHART_COLOR_LAST","16149563"
"602","41774365623703","CHART_MODE","1"
"602","41774365623703","CHART_FOREGROUND","0"
"602","41774365623703","CHART_SHOW_GRID","0"
"602","41774365623703","CHART_SHOW_VOLUMES","0"
"602","41774365623703","CHART_SHOW_BID_LINE","1"
"602","41774365623703","CHART_SHOW_ASK_LINE","0"
"602","41774365623703","CHART_SHOW_LAST_LINE","0"
"602","41774365623703","CHART_SHIFT","0"
"602","41774365623703","CHART_SCALE","3"
"602","41774365623703","CHART_AUTOSCROLL","1"
"602","41774365623703","CHART_SHOW_TRADE_LEVELS","1"
"602","41774365623703","CHART_DRAG_TRADE_LEVELS","1"
"602","41774365623703","CHART_SHOW_TRADE_HISTORY","1"
"602","41774365623703","CHART_SHIFT_SIZE","19.1919191919191974"
