"serial","chart_id","property","value"
"501","41774365623703","CHART_COLOR_BACKGROUND","16777215"
"501","41774365623703","CHART_COLOR_FOREGROUND","8745319"
"501","41774365623703","CHART_COLOR_GRID","15262428"
"501","41774365623703","CHART_COLOR_CHART_UP","8036110"
"501","41774365623703","CHART_COLOR_CHART_DOWN","6182128"
"501","41774365623703","CHART_COLOR_CANDLE_BULL","16777215"
"501","41774365623703","CHART_COLOR_CANDLE_BEAR","6182128"
"501","41774365623703","CHART_COLOR_CHART_LINE","16149563"
"501","41774365623703","CHART_COLOR_VOLUME","15262428"
"501","41774365623703","CHART_COLOR_BID","16149563"
"501","41774365623703","CHART_COLOR_ASK","10982795"
"501","41774365623703","CHART_COLOR_LAST","16149563"
"501","41774365623703","CHART_MODE","1"
"501","41774365623703","CHART_FOREGROUND","0"
"501","41774365623703","CHART_SHOW_GRID","0"
"501","41774365623703","CHART_SHOW_VOLUMES","0"
"501","41774365623703","CHART_SHOW_BID_LINE","0"
"501","41774365623703","CHART_SHOW_ASK_LINE","0"
"501","41774365623703","CHART_SHOW_LAST_LINE","0"
"501","41774365623703","CHART_SHIFT","1"
"501","41774365623703","CHART_SCALE","3"
"501","41774365623703","CHART_AUTOSCROLL","1"
"501","41774365623703","CHART_SHOW_TRADE_LEVELS","1"
"501","41774365623703","CHART_DRAG_TRADE_LEVELS","1"
"501","41774365623703","CHART_SHOW_TRADE_HISTORY","1"
"501","41774365623703","CHART_SHIFT_SIZE","19.8653198653198615"
