terminal,symbol,month,present,disk_size,manifest_size,disk_sha256,manifest_sha256,classification,note
T2,AUDCAD.DWX,202510,True,1750917,1750917,80029c5382ffb6a68831d9dd777630ba132a3d1d64fcaf01c88e07a403e8c8a8,80029c5382ffb6a68831d9dd777630ba132a3d1d64fcaf01c88e07a403e8c8a8,INTACT,size+sha256 match signed manifest
T2,AUDCAD.DWX,202511,True,7184498,7184498,a7666ebf05b436a3019903efd51a5d40123c99faee5b04a479339e12c4ccea6e,a7666ebf05b436a3019903efd51a5d40123c99faee5b04a479339e12c4ccea6e,INTACT,size+sha256 match signed manifest
T2,AUDCHF.DWX,202510,True,1928104,1928104,88a207871d84f567212205dd3775367b55b6717f95a19e486af8747f8defc20d,88a207871d84f567212205dd3775367b55b6717f95a19e486af8747f8defc20d,INTACT,size+sha256 match signed manifest
T2,AUDCHF.DWX,202511,True,5330757,5330757,a5db2a8d6076adf965acda6822756692e2ada055ad1ef68b4d7f389da3232204,a5db2a8d6076adf965acda6822756692e2ada055ad1ef68b4d7f389da3232204,INTACT,size+sha256 match signed manifest
T2,AUDJPY.DWX,202510,True,2448547,2448547,63608cda14156fcc14ed037cbae61a697e51ad6718a239763afc094db99c8756,63608cda14156fcc14ed037cbae61a697e51ad6718a239763afc094db99c8756,INTACT,size+sha256 match signed manifest
T2,AUDJPY.DWX,202511,True,9891448,9891448,6ea97a4e66c3461697d25d64549be7ea4eddc976fefa76c6a7bf915de6598a10,6ea97a4e66c3461697d25d64549be7ea4eddc976fefa76c6a7bf915de6598a10,INTACT,size+sha256 match signed manifest
T2,AUDNZD.DWX,202510,True,1688883,1688883,8718aa35d930ee6ed95ab9358e78b77cefd27288ecf03bb52077e9f8c16d0faf,8718aa35d930ee6ed95ab9358e78b77cefd27288ecf03bb52077e9f8c16d0faf,INTACT,size+sha256 match signed manifest
T2,AUDNZD.DWX,202511,True,6274721,6274721,e0ab0cad3fa542eea33de2a4d8f5552aeb09734acf6d8b2235cefe343b4f726f,e0ab0cad3fa542eea33de2a4d8f5552aeb09734acf6d8b2235cefe343b4f726f,INTACT,size+sha256 match signed manifest
T2,AUDUSD.DWX,202510,True,994612,994612,0d329823d40ef347e07f03b6b16f39345f16da41960f6eb49d2d95036c9dc30f,0d329823d40ef347e07f03b6b16f39345f16da41960f6eb49d2d95036c9dc30f,INTACT,size+sha256 match signed manifest
T2,AUDUSD.DWX,202511,True,4768956,4768956,0fc822983d038ed717c136213edda77393ed3cb475c6469816cc8bdadf010ebd,0fc822983d038ed717c136213edda77393ed3cb475c6469816cc8bdadf010ebd,INTACT,size+sha256 match signed manifest
T2,CADCHF.DWX,202510,True,1334483,1334483,20badf9f83b2166926b494ce3e31a98555ddd000e3cb4c1597139f37142317bd,20badf9f83b2166926b494ce3e31a98555ddd000e3cb4c1597139f37142317bd,INTACT,size+sha256 match signed manifest
T2,CADCHF.DWX,202511,True,4667276,4667276,d78c719c36547da9df81b66161161c2a9a5a766b747319ce634f1b54f1ce601e,d78c719c36547da9df81b66161161c2a9a5a766b747319ce634f1b54f1ce601e,INTACT,size+sha256 match signed manifest
T2,CADJPY.DWX,202510,True,2678382,2678382,24863e57bc1ab0e0e3475a3dd691205bb88afd70b2903cb3397b2ca88bbf20a1,24863e57bc1ab0e0e3475a3dd691205bb88afd70b2903cb3397b2ca88bbf20a1,INTACT,size+sha256 match signed manifest
T2,CADJPY.DWX,202511,True,8635560,8635560,eaf4ba8bb40e87281c4b5384541cdadf1d265fa88b7f9aa618b494da8a161368,eaf4ba8bb40e87281c4b5384541cdadf1d265fa88b7f9aa618b494da8a161368,INTACT,size+sha256 match signed manifest
T2,CHFJPY.DWX,202510,True,3686780,3686780,34a143a4d54885d00f14c12795035ac98e3a5568104ee7989bd003e0974bf6f4,34a143a4d54885d00f14c12795035ac98e3a5568104ee7989bd003e0974bf6f4,INTACT,size+sha256 match signed manifest
T2,CHFJPY.DWX,202511,True,12116485,12116485,9c38f674b330a5e69856ae05e5470af2643d93875a4d52b1ccdd97a6d7fa7e47,9c38f674b330a5e69856ae05e5470af2643d93875a4d52b1ccdd97a6d7fa7e47,INTACT,size+sha256 match signed manifest
T2,EURAUD.DWX,202510,True,4258356,4258356,0222e0edf905974ccf3a2ad63f8350d4e83fb050dd449bab9047638dd4a8f316,0222e0edf905974ccf3a2ad63f8350d4e83fb050dd449bab9047638dd4a8f316,INTACT,size+sha256 match signed manifest
T2,EURAUD.DWX,202511,True,11599549,11599549,a0c1ade8a85156c92e46b8d83c75af28bb2054d03fe70ad1db82ac732bd282a7,a0c1ade8a85156c92e46b8d83c75af28bb2054d03fe70ad1db82ac732bd282a7,INTACT,size+sha256 match signed manifest
T2,EURCAD.DWX,202510,True,3092049,3092049,e8b5101a38282ffc5ccebacebd94fcd84a7441429a9c5603ee9d3805b00927f7,e8b5101a38282ffc5ccebacebd94fcd84a7441429a9c5603ee9d3805b00927f7,INTACT,size+sha256 match signed manifest
T2,EURCAD.DWX,202511,True,8696226,8696226,4e8654c38586496725aa926332126a519df720c0ac908c4ae212b9e1facb0d44,4e8654c38586496725aa926332126a519df720c0ac908c4ae212b9e1facb0d44,INTACT,size+sha256 match signed manifest
T2,EURCHF.DWX,202510,True,2327004,2327004,7a237d0e98a3a232b3c2dd02a1f766c4221235408bac3927e4a41b85135c38da,7a237d0e98a3a232b3c2dd02a1f766c4221235408bac3927e4a41b85135c38da,INTACT,size+sha256 match signed manifest
T2,EURCHF.DWX,202511,True,5039775,5039775,ad4b44d33f26907811da124cea74554fb1bc582b2c2912e80d7c97059344a563,ad4b44d33f26907811da124cea74554fb1bc582b2c2912e80d7c97059344a563,INTACT,size+sha256 match signed manifest
T2,EURGBP.DWX,202510,True,1397825,1397825,eabbaf4203a9d991a16891448dbc934bcf65a3513b32cf94f6eb4975472efb67,eabbaf4203a9d991a16891448dbc934bcf65a3513b32cf94f6eb4975472efb67,INTACT,size+sha256 match signed manifest
T2,EURGBP.DWX,202511,True,5283821,5283821,0ae999bf718d0129753b6f976a84a0dfb7ec885742bb1106d61d1e1e67008f2f,0ae999bf718d0129753b6f976a84a0dfb7ec885742bb1106d61d1e1e67008f2f,INTACT,size+sha256 match signed manifest
T2,EURJPY.DWX,202510,True,3930900,3930900,029f5ecaf6f068c568f8b51c3f66e41b50c48d252d5474ae60ab8b6c97e9faf4,029f5ecaf6f068c568f8b51c3f66e41b50c48d252d5474ae60ab8b6c97e9faf4,INTACT,size+sha256 match signed manifest
T2,EURJPY.DWX,202511,True,10643280,10643280,c9f239760b1a855085b46419f054165dd6662cb65e4d0f5dd21413070aa28692,c9f239760b1a855085b46419f054165dd6662cb65e4d0f5dd21413070aa28692,INTACT,size+sha256 match signed manifest
T2,EURNZD.DWX,202510,True,4297098,4297098,6da6ce4353d72d46305ebe805bca4b8dd1bdbfc1de3fb5c4eafe0fc019b7057a,6da6ce4353d72d46305ebe805bca4b8dd1bdbfc1de3fb5c4eafe0fc019b7057a,INTACT,size+sha256 match signed manifest
T2,EURNZD.DWX,202511,True,12001639,12001639,7802a62d9c62c7c4194a3659a7905fc41eb1a2e106ca17395340bf0240a3ee92,7802a62d9c62c7c4194a3659a7905fc41eb1a2e106ca17395340bf0240a3ee92,INTACT,size+sha256 match signed manifest
T2,EURUSD.DWX,202510,True,1656896,1656896,cdab4af2fbe6f2adbc6d885c84ef3a1e81ebcde449a0b0d8312169c78da1b63e,cdab4af2fbe6f2adbc6d885c84ef3a1e81ebcde449a0b0d8312169c78da1b63e,INTACT,size+sha256 match signed manifest
T2,EURUSD.DWX,202511,True,4618485,4618485,479a6605b550f7d0679b9b9f17b1c8b1773e784df1d63713ef5901cce3e7caf6,479a6605b550f7d0679b9b9f17b1c8b1773e784df1d63713ef5901cce3e7caf6,INTACT,size+sha256 match signed manifest
